"Scenario","Scenario_Label","Summary_Source","Fixed_SS_Per_Group","Metric","rho","Delta","tau_Omega_A","A_A","A_0","A_YG","A_0_over_A","A_YG_over_0","Empirical_power","FORSS_HA","FORSS_H0_variance","Yu_Ganju","Power_diff_H0_minus_HA"
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"WR",0,0.310050232425779,0.0915279927777776,2.95194253260266,2.92016154711875,3.20399670098154,0.989233873921016,1.09719844237482,0.8513,0.850304477376716,0.851611956359983,0.81786480112004,0.00130747898326677
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"NB",0,0.139718492777778,0.0915279927777776,0.583325041121229,0.597377799647983,0.661081751025381,1.02409078564456,1.10663930165289,0.8537,0.851917658600859,0.849041828212118,0.811788850449771,-0.00287583038874129
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"WR",0.2,0.304888881168641,0.0933685288888871,3.00623582987148,2.97624465159244,3.21591462824153,0.990023677457025,1.08052764631458,0.8325,0.831620840082546,0.83283220725011,0.803530210790969,0.0012113671675642
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"NB",0.2,0.137150145000001,0.0933685288888871,0.592612345028435,0.606544051651043,0.660854878542083,1.02350897131908,1.08954143848778,0.8363,0.83303022337474,0.830223345653013,0.797492697834953,-0.00280687772172783
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"WR",0.4,0.308355603405408,0.0987795456249995,3.08386655111625,3.05489861561497,3.2512342281061,0.990606618340604,1.06426910912446,0.8305,0.830419263944837,0.831559061423855,0.808067134678391,0.00113979747901771
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"NB",0.4,0.1378575875,0.0987795456249995,0.600329324050627,0.61466947899604,0.660161734244079,1.02388714722222,1.07401092262193,0.8337,0.831960297064051,0.829109844788729,0.801941674117514,-0.00285045227532166
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"WR",0.6,0.322691099492291,0.110041638076923,3.20501584235155,3.1774260617573,3.32612306543803,0.991391686671348,1.04679794298612,0.8512,0.848995663668095,0.85004042940611,0.833692206193447,0.00104476573801549
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"NB",0.6,0.142357656538461,0.110041638076923,0.606419805954396,0.621893541848323,0.658593891926232,1.02551654108588,1.05901387875621,0.854,0.851106603314625,0.848061864643011,0.827340058400591,-0.00304473867161359
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"WR",0.8,0.365567382678211,0.134638466249999,3.43641061100536,3.41418481600407,3.49646067991367,0.993532264470927,1.02409824550913,0.906,0.905017986894277,0.905735771753937,0.899054789167331,0.000717784859660009
"S1","S1: Continuous + Continuous","Simulation Examples/Summary.Scenario1.Nsp2000.csv",274,"NB",0.8,0.156435677916668,0.134638466249999,0.608037224753365,0.626530110028894,0.654581655603899,1.03041406763053,1.044772861074,0.9081,0.908451410632916,0.905152975178583,0.892626847941875,-0.0032984354543335
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"WR",0,0.362601846282865,0.229343222222222,3.90334363405066,3.95018010127176,4.25383735940864,1.01199906326784,1.07687175023719,0.858,0.850471928338833,0.849030645681881,0.82212868893378,-0.0014412826569512
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"NB",0,0.138209773703703,0.229343222222222,0.551512627316134,0.55808263363469,0.631601124280486,1.01191270334195,1.13173405910695,0.8605,0.860099451402985,0.858675096470907,0.813890487230672,-0.00142435493207849
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"WR",0.2,0.349331798991064,0.232354038888889,3.96580546911501,4.01363058647,4.28098056072671,1.01205937046773,1.06661050849023,0.828,0.81734969210502,0.81591358573805,0.790788864209696,-0.00143610636696923
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"NB",0.2,0.132734480740741,0.232354038888889,0.558169480758989,0.563374364571288,0.630674400408014,1.00932491652038,1.11945881827253,0.8302,0.827628130199307,0.82650894287325,0.782698903844413,-0.00111918732605654
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"WR",0.4,0.339603584827665,0.240658056458333,4.07354377818682,4.12116647876331,4.35695869565428,1.01169073003008,1.05721492157767,0.7958,0.784743689220842,0.783405645357129,0.760673704508526,-0.00133804386371239
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"NB",0.4,0.127712545625001,0.240658056458333,0.562762624697402,0.566407749403969,0.628055799907799,1.00647719757247,1.10884040793704,0.7987,0.795570240846865,0.794814365782284,0.752733766118193,-0.00075587506458108
"S2","S2: Continuous + Binary","Simulation Examples/Summary.Scenario2.Nsp2000.csv",269,"WR",0.6,0.3341227003814,0.25625750775,4.2503258665652,4.29505710124721,4.50427406740208,1.01052418945895,1.04871110237257,0.7638,0.754225626137778,0.753093368662016,0.733067256609738,-0.00113225747576207
