"scenario","fixed_n","rho","wr_empirical_power_pct","scenario_plot"
"S1: Continuous + Continuous",274,0,85.13,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.2,83.25,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.4,83.05,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.6,85.12,"S1: Cont+Cont"
"S1: Continuous + Continuous",274,0.8,90.6,"S1: Cont+Cont"
"S2: Continuous + Binary",269,0,85.8,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.2,82.8,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.4,79.58,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.6,76.38,"S2: Cont+Bin"
"S2: Continuous + Binary",269,0.8,73.67,"S2: Cont+Bin"
"S3: Survival + Continuous",239,0,84.04,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.2,80.64,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.4,77.18,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.6,73.91,"S3: Surv+Cont"
"S3: Survival + Continuous",239,0.8,70.58,"S3: Surv+Cont"
"S4: Binary + Continuous",239,0,85.64,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.2,81.88,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.4,78.21,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.6,74.25,"S4: Bin+Cont"
"S4: Binary + Continuous",239,0.8,70.34,"S4: Bin+Cont"
